id,created_at,updated_at,component_id,model_type,geometry_type,primary_material,secondary_material,primary_color,secondary_color,has_doors,has_drawers,has_handles,has_legs,default_y_position,wall_mounted,special_features,detail_level,version,deprecated
282b08cc-a232-4a68-9d93-c4445c1f43c8,2025-09-13 17:21:00.586824+00,2025-09-13 17:21:00.586824+00,,cabinet,box,wood,,#8B4513,,true,false,true,false,0.00,false,"{""wood_grain"": true, ""handle_style"": ""modern"", ""door_thickness"": 0.018, ""frame_thickness"": 0.02}",1,1.0.0,false
2d3382eb-dc9a-4d8d-84fd-e58cbfecc21e,2025-09-13 17:21:00.866446+00,2025-09-13 17:21:00.866446+00,,end-panel,box,wood,,#8B4513,,false,false,false,false,0.00,false,"{""thickness"": 0.02, ""wood_grain"": true, ""edge_banding"": true}",1,1.0.0,false
2e7a6c29-47b4-44b7-95e3-c1940e0380ae,2025-09-13 17:21:00.795216+00,2025-09-13 17:21:00.795216+00,,counter-top,box,stone,,#D2B48C,,false,false,false,false,0.90,false,"{""thickness"": 0.04, ""edge_profile"": ""bullnose"", ""surface_finish"": ""polished""}",1,1.0.0,false
b6a2a23f-0ae4-436b-9d88-fb8cfa7812cb,2025-09-13 17:21:00.716396+00,2025-09-13 17:21:00.716396+00,,appliance,box,metal,,#C0C0C0,,false,false,true,false,0.00,false,"{""metallic_finish"": true, ""rounded_corners"": true}",1,1.0.0,false
