decor_id,decor_name,decor,texture,product_page_url,image_url,FileType
H1307 ST19,Brown Warmia Walnut ,H1307,ST19,https://www.egger.com/en/furniture-interior-design/decors/H1307_19,https://cdn.egger.com/img/pim/8854546874398/8855313711134/AR_16_9.webp?width=588&srcext=png,webp
U818 ST9,Dark Brown  ,U818,ST9,https://www.egger.com/en/furniture-interior-design/decors/U818_9,https://cdn.egger.com/img/pim/8854546874398/8855313711134/AR_16_9.webp?width=588&srcext=png,webp
H3349 ST19,Kaisersberg Oak  ,H3349,ST19,https://www.egger.com/en/furniture-interior-design/decors/H3349_19,https://cdn.egger.com/img/pim/8854546874398/8855313711134/AR_16_9.webp?width=588&srcext=png,webp
H1362 ST12,Light Baronia Oak ,H1362,ST12,https://www.egger.com/en/furniture-interior-design/decors/H1362_12,https://cdn.egger.com/img/pim/8854546874398/8855313711134/AR_16_9.webp?width=588&srcext=png,webp
H3359 ST32,Light Natural Davenport Oak,H3359,ST32,https://www.egger.com/en/furniture-interior-design/decors/H3359_32,https://cdn.egger.com/img/pim/8854546874398/8855313711134/AR_16_9.webp?width=588&srcext=png,webp
H1145 ST10,Natural Bardolino Oak ,H1145,ST10,https://www.egger.com/en/furniture-interior-design/decors/H1145_10,https://cdn.egger.com/img/pim/8854546874398/8855313711134/AR_16_9.webp?width=588&srcext=png,webp
H305 ST12,Natural Tonsberg Oak ,H305,ST12,https://www.egger.com/en/furniture-interior-design/decors/H305_12,https://cdn.egger.com/img/pim/8854546874398/8855313711134/AR_16_9.webp?width=588&srcext=png,webp
H3331 ST10,Natural Nebraska Oak ,H3331,ST10,https://www.egger.com/en/furniture-interior-design/decors/H3331_10,https://cdn.egger.com/img/pim/8854546874398/8855313711134/AR_16_9.webp?width=588&srcext=png,webp
H193 ST12,Oak Butcherblock  ,H193,ST12,https://www.egger.com/en/furniture-interior-design/decors/H193_12,https://cdn.egger.com/img/pim/8854546874398/8855313711134/AR_16_9.webp?width=588&srcext=png,webp
H1377 ST36,Sand Orleans Oak ,H1377,ST36,https://www.egger.com/en/furniture-interior-design/decors/H1377_36,https://cdn.egger.com/img/pim/8854546874398/8855313711134/AR_16_9.webp?width=588&srcext=png,webp
H1223 ST19,Sevilla Ash  ,H1223,ST19,https://www.egger.com/en/furniture-interior-design/decors/H1223_19,https://cdn.egger.com/img/pim/8854546874398/8855313711134/AR_16_9.webp?width=588&srcext=png,webp
H3133 ST12,Truffle Brown Davos Oak,H3133,ST12,https://www.egger.com/en/furniture-interior-design/decors/H3133_12,https://cdn.egger.com/img/pim/8854546874398/8855313711134/AR_16_9.webp?width=588&srcext=png,webp
H3157 ST12,Vicenza Oak  ,H3157,ST12,https://www.egger.com/en/furniture-interior-design/decors/H3157_12,https://cdn.egger.com/img/pim/8854546874398/8855313711134/AR_16_9.webp?width=588&srcext=png,webp
H194 ST12,Walnut Butcherblock  ,H194,ST12,https://www.egger.com/en/furniture-interior-design/decors/H194_12,https://cdn.egger.com/img/pim/8854546874398/8855313711134/AR_16_9.webp?width=588&srcext=png,webp
U115 ST9,Carat Beige  ,U115,ST9,https://www.egger.com/en/furniture-interior-design/decors/U115_9,https://cdn.egger.com/img/pim/8854546874398/8855313711134/AR_16_9.webp?width=624&srcext=png,webp
