name,number,product_url,thumb_url,hover_url,description
Barrow Blue,,https://www.farrow-ball.com/paint/barrow-blue,https://www.farrow-ball.com/media/catalog/product/b/a/barrow_blue_no._g8_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/b/a/barrow_blue_no._g8_-_swirl.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop",Barrow Blue is a faded blue grey and is reminiscent of faded gardeners' overalls and feels delightfully grounded. Available in-store and online.
Bay Area Blue,9815,https://www.farrow-ball.com/paint/bay-area-blue,https://www.farrow-ball.com/media/catalog/product/b/a/bay_area_blue_no._9815_-_swirl_1.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/c/h/chez.shez_bay_area_blue.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop",Bay Area Blue is a clear bright blue inspired by the sparkling blue waters of the popular San Francisco Bay Area. Available in-store and online.
Beetle Black,,https://www.farrow-ball.com/paint/beetle-black,https://www.farrow-ball.com/media/catalog/product/b/e/beetle_black_no._g16_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,https://static.pxlecdn.com/photos/651922765/xl/a5a2e73a2180ff77593e.jpg,Beetle Black is a chic and understated grey inspired by the distinctive sheen of the wing casings of beetles. Available in-store and online.
Belvedere Blue,215,https://www.farrow-ball.com/paint/belvedere-blue,https://www.farrow-ball.com/media/catalog/product/b/e/belvedere_blue_no._215_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/e/l/ellenhamiltonlovescolor_belvedere.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop","Belvedere Blue is a classic indigo which appears stronger when used in small rooms, creating dramatic spaces. Available in-store and online."
Berrington Blue,14,https://www.farrow-ball.com/paint/berrington-blue,https://www.farrow-ball.com/media/catalog/product/b/e/berrington_blue_no._14_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/p/a/paint_berringtonblue14_hover_1.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop",Berrington Blue is a blackened mid-tone blue which is a stronger alternative to the ever-popular Oval Room Blue. Available in-store and online.
Beverly,310,https://www.farrow-ball.com/paint/beverly,https://www.farrow-ball.com/media/catalog/product/b/e/beverly_no._310_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/p/a/paint_beverly310_hover.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop","Beverly is a dependable colour, with the ability to feel even greener in bright daylight or conservative in lower light. Available in-store and online."
Bible Black,225,https://www.farrow-ball.com/paint/bible-black,https://www.farrow-ball.com/media/catalog/product/b/i/bible_black_no._225_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/b/i/bible_black_rollover.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop","Bible Black is a purple based black that is an inky violet shade that adds richness and depth to any feature, inside or out. Available in-store and online."
Biscuit,38,https://www.farrow-ball.com/paint/biscuit,https://www.farrow-ball.com/media/catalog/product/b/i/biscuit_no._38_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/b/i/biscuit_rollover.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop","Biscuit is a dark cream, with its distinct green base, sits perfectly with the lighter String and Matchstick. Available in-store and online."
Bisque,9811,https://www.farrow-ball.com/paint/bisque,https://www.farrow-ball.com/media/catalog/product/b/i/bisque_no._9811_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/b/i/bisque_no._9811_-_swirl.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop",Bisque is as warming as the classic French dish from which it takes it's name and is a welcoming addition to any space. Available in-store and online.
Black Blue,95,https://www.farrow-ball.com/paint/black-blue,https://www.farrow-ball.com/media/catalog/product/b/l/black_blue_no._95_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/p/a/paint_blackblue95_hover_1.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop","Black Blue takes its name from the two essential pigments that make up its rich colour, and appears more blue in some lights. Available in-store and online"
