decor_id,decor_name,decor,texture,product_page_url,image_url
H309 ST12,Brown Tonsberg Oak ,H309,ST12,https://www.egger.com/en/furniture-interior-design/decors/H309_12,https://cdn.egger.com/img/pim/8854536552478/8854536585246/original.png
H309 ST12,Brown Tonsberg Oak ,H309,ST12,https://www.egger.com/en/furniture-interior-design/decors/H309_12,https://cdn.egger.com/img/pim/8854536683550/8854536716318/original.png
H3131 ST12,Natural Davos Oak ,H3131,ST12,https://www.egger.com/en/furniture-interior-design/decors/H3131_12,https://cdn.egger.com/img/pim/8854396436510/8854536847390/original.png
H3131 ST12,Natural Davos Oak ,H3131,ST12,https://www.egger.com/en/furniture-interior-design/decors/H3131_12,https://cdn.egger.com/img/pim/8854396567582/8854536880158/original.png
H3133 ST12,Truffle Brown Davos Oak,H3133,ST12,https://www.egger.com/en/furniture-interior-design/decors/H3133_12,https://cdn.egger.com/img/pim/8854397321246/8854536945694/original.png
H3133 ST12,Truffle Brown Davos Oak,H3133,ST12,https://www.egger.com/en/furniture-interior-design/decors/H3133_12,https://cdn.egger.com/img/pim/8854397452318/8854536978462/original.png
H3133 ST9,Truffle Brown Davos Oak,H3133,ST9,https://www.egger.com/en/furniture-interior-design/decors/H3133_9,https://cdn.egger.com/img/pim/8854397714462/8854537043998/original.png
H3133 ST9,Truffle Brown Davos Oak,H3133,ST9,https://www.egger.com/en/furniture-interior-design/decors/H3133_9,https://cdn.egger.com/img/pim/8854397845534/8854537076766/original.png
H3146 ST19,Beige Grey Lorenzo Oak,H3146,ST19,https://www.egger.com/en/furniture-interior-design/decors/H3146_19,https://cdn.egger.com/img/pim/8854398107678/8854537142302/original.png
H3146 ST19,Beige Grey Lorenzo Oak,H3146,ST19,https://www.egger.com/en/furniture-interior-design/decors/H3146_19,https://cdn.egger.com/img/pim/8854398238750/8854537175070/original.png
H3146 ST22,Beige Grey Lorenzo Oak,H3146,ST22,https://www.egger.com/en/furniture-interior-design/decors/H3146_22,https://cdn.egger.com/img/pim/8854398500894/8854537240606/original.png
H3146 ST22,Beige Grey Lorenzo Oak,H3146,ST22,https://www.egger.com/en/furniture-interior-design/decors/H3146_22,https://cdn.egger.com/img/pim/8854398631966/8854537273374/original.png
H3152 ST19,Bleached Vicenza Oak ,H3152,ST19,https://www.egger.com/en/furniture-interior-design/decors/H3152_19,https://cdn.egger.com/img/pim/8854537437214/8854537469982/original.png
H3152 ST19,Bleached Vicenza Oak ,H3152,ST19,https://www.egger.com/en/furniture-interior-design/decors/H3152_19,https://cdn.egger.com/img/pim/8854537568286/8854537601054/original.png
H3154 ST36,Dark Brown Charleston Oak,H3154,ST36,https://www.egger.com/en/furniture-interior-design/decors/H3154_36,https://cdn.egger.com/img/pim/8854399287326/8854538125342/original.png
H3154 ST36,Dark Brown Charleston Oak,H3154,ST36,https://www.egger.com/en/furniture-interior-design/decors/H3154_36,https://cdn.egger.com/img/pim/8854399418398/8854538158110/original.png
H3156 ST12,Grey Corbridge Oak ,H3156,ST12,https://www.egger.com/en/furniture-interior-design/decors/H3156_12,https://cdn.egger.com/img/pim/8854399680542/8854538223646/original.png
H3156 ST12,Grey Corbridge Oak ,H3156,ST12,https://www.egger.com/en/furniture-interior-design/decors/H3156_12,https://cdn.egger.com/img/pim/8854399811614/8854538256414/original.png
H3156 ST9,Grey Corbridge Oak ,H3156,ST9,https://www.egger.com/en/furniture-interior-design/decors/H3156_9,https://cdn.egger.com/img/pim/8854400073758/8854538321950/original.png
H3156 ST9,Grey Corbridge Oak ,H3156,ST9,https://www.egger.com/en/furniture-interior-design/decors/H3156_9,https://cdn.egger.com/img/pim/8854400204830/8854538354718/original.png
H3157 ST12,Vicenza Oak  ,H3157,ST12,https://www.egger.com/en/furniture-interior-design/decors/H3157_12,https://cdn.egger.com/img/pim/8854400466974/8854538420254/original.png
H3157 ST12,Vicenza Oak  ,H3157,ST12,https://www.egger.com/en/furniture-interior-design/decors/H3157_12,https://cdn.egger.com/img/pim/8854400598046/8854538453022/original.png
H3157 ST12,Vicenza Oak  ,H3157,ST12,https://www.egger.com/en/furniture-interior-design/decors/H3157_12,https://cdn.egger.com/img/pim/8855068475422/8855068508190/original.png
H3157 ST9,Vicenza Oak  ,H3157,ST9,https://www.egger.com/en/furniture-interior-design/decors/H3157_9,https://cdn.egger.com/img/pim/8854400860190/8854538518558/original.png
H3157 ST9,Vicenza Oak  ,H3157,ST9,https://www.egger.com/en/furniture-interior-design/decors/H3157_9,https://cdn.egger.com/img/pim/8854400991262/8854538551326/original.png
H3158 ST19,Grey Vicenza Oak ,H3158,ST19,https://www.egger.com/en/furniture-interior-design/decors/H3158_19,https://cdn.egger.com/img/pim/8854401253406/8854538616862/original.png
H3158 ST19,Grey Vicenza Oak ,H3158,ST19,https://www.egger.com/en/furniture-interior-design/decors/H3158_19,https://cdn.egger.com/img/pim/8854401384478/8854538649630/original.png
H3158 ST22,Grey Vicenza Oak ,H3158,ST22,https://www.egger.com/en/furniture-interior-design/decors/H3158_22,https://cdn.egger.com/img/pim/8854401646622/8854538715166/original.png
H3158 ST22,Grey Vicenza Oak ,H3158,ST22,https://www.egger.com/en/furniture-interior-design/decors/H3158_22,https://cdn.egger.com/img/pim/8854401777694/8854538747934/original.png
H3165 ST12,Light Vicenza Oak ,H3165,ST12,https://www.egger.com/en/furniture-interior-design/decors/H3165_12,https://cdn.egger.com/img/pim/8854538911774/8854538944542/original.png
H3165 ST12,Light Vicenza Oak ,H3165,ST12,https://www.egger.com/en/furniture-interior-design/decors/H3165_12,https://cdn.egger.com/img/pim/8854539042846/8854539075614/original.png
H3170 ST12,Natural Kendal Oak ,H3170,ST12,https://www.egger.com/en/furniture-interior-design/decors/H3170_12,https://cdn.egger.com/img/pim/8854402039838/8854539206686/original.png
H3170 ST12,Natural Kendal Oak ,H3170,ST12,https://www.egger.com/en/furniture-interior-design/decors/H3170_12,https://cdn.egger.com/img/pim/8854402170910/8854539239454/original.png
H3170 ST9,Natural Kendal Oak ,H3170,ST9,https://www.egger.com/en/furniture-interior-design/decors/H3170_9,https://cdn.egger.com/img/pim/8854402433054/8854539304990/original.png
H3170 ST9,Natural Kendal Oak ,H3170,ST9,https://www.egger.com/en/furniture-interior-design/decors/H3170_9,https://cdn.egger.com/img/pim/8854402564126/8854539337758/original.png
H3171 ST12,Oiled Kendal Oak ,H3171,ST12,https://www.egger.com/en/furniture-interior-design/decors/H3171_12,https://cdn.egger.com/img/pim/8854402826270/8854539403294/original.png
H3171 ST12,Oiled Kendal Oak ,H3171,ST12,https://www.egger.com/en/furniture-interior-design/decors/H3171_12,https://cdn.egger.com/img/pim/8854402957342/8854539436062/original.png
H3171 ST9,Oiled Kendal Oak ,H3171,ST9,https://www.egger.com/en/furniture-interior-design/decors/H3171_9,https://cdn.egger.com/img/pim/8854403219486/8854539501598/original.png
H3171 ST9,Oiled Kendal Oak ,H3171,ST9,https://www.egger.com/en/furniture-interior-design/decors/H3171_9,https://cdn.egger.com/img/pim/8854403350558/8854539534366/original.png
